date,time,tec
01-Mar-2015,00:00:00,13.38473311
01-Mar-2015,02:00:00,22.84880556
01-Mar-2015,04:00:00,48.89703867
01-Mar-2015,06:00:00,59.25907178
01-Mar-2015,08:00:00,75.9278849
01-Mar-2015,10:00:00,65.00160622
01-Mar-2015,12:00:00,53.84685245
01-Mar-2015,14:00:00,44.86585934
01-Mar-2015,16:00:00,30.9402551
01-Mar-2015,18:00:00,24.47868622
01-Mar-2015,20:00:00,19.58106755
01-Mar-2015,22:00:00,14.58787934
02-Mar-2015,00:00:00,12.60859311
02-Mar-2015,02:00:00,23.73175311
02-Mar-2015,04:00:00,43.20177178
02-Mar-2015,06:00:00,66.18668556
02-Mar-2015,08:00:00,79.53549867
02-Mar-2015,10:00:00,76.35603934
02-Mar-2015,12:00:00,61.59754556
02-Mar-2015,14:00:00,47.00269934
02-Mar-2015,16:00:00,27.02088066
02-Mar-2015,18:00:00,18.53616556
02-Mar-2015,20:00:00,16.79217378
02-Mar-2015,22:00:00,14.45320622
03-Mar-2015,00:00:00,13.25556
03-Mar-2015,02:00:00,27.23337934
03-Mar-2015,04:00:00,43.78161245
03-Mar-2015,06:00:00,57.19174689
03-Mar-2015,08:00:00,54.90476622
03-Mar-2015,10:00:00,49.98072133
03-Mar-2015,12:00:00,46.01334556
03-Mar-2015,14:00:00,37.42468556
03-Mar-2015,16:00:00,23.63670199
03-Mar-2015,18:00:00,19.34955444
03-Mar-2015,20:00:00,14.62376755
03-Mar-2015,22:00:00,14.76398
04-Mar-2015,00:00:00,13.38712622
04-Mar-2015,02:00:00,30.29337934
04-Mar-2015,04:00:00,43.83337734
04-Mar-2015,06:00:00,67.81308
04-Mar-2015,08:00:00,74.29483801
04-Mar-2015,10:00:00,61.40619178
04-Mar-2015,12:00:00,47.74081178
04-Mar-2015,14:00:00,41.31149112
04-Mar-2015,16:00:00,27.33492822
04-Mar-2015,18:00:00,19.74322066
04-Mar-2015,20:00:00,14.96206066
04-Mar-2015,22:00:00,13.48609378
05-Mar-2015,00:00:00,12.44799934
05-Mar-2015,02:00:00,28.25805934
05-Mar-2015,04:00:00,39.76062357
05-Mar-2015,06:00:00,53.46059178
05-Mar-2015,08:00:00,61.66109112
05-Mar-2015,10:00:00,54.91980689
05-Mar-2015,12:00:00,50.68141934
05-Mar-2015,14:00:00,48.65725245
05-Mar-2015,16:00:00,31.38318888
05-Mar-2015,18:00:00,21.51778755
05-Mar-2015,20:00:00,19.09504066
05-Mar-2015,22:00:00,14.94294755
06-Mar-2015,00:00:00,14.12169311
06-Mar-2015,02:00:00,27.44565934
06-Mar-2015,04:00:00,46.68794423
06-Mar-2015,06:00:00,68.15509178
06-Mar-2015,08:00:00,84.64501801
06-Mar-2015,10:00:00,72.77389801
06-Mar-2015,12:00:00,57.0331449
06-Mar-2015,14:00:00,45.5801629
06-Mar-2015,16:00:00,27.86197378
06-Mar-2015,18:00:00,21.39950622
06-Mar-2015,20:00:00,16.20992622
06-Mar-2015,22:00:00,13.72304
07-Mar-2015,00:00:00,13.13474
07-Mar-2015,02:00:00,24.16483934
07-Mar-2015,04:00:00,43.05187112
07-Mar-2015,06:00:00,61.77841112
07-Mar-2015,08:00:00,75.81553801
07-Mar-2015,10:00:00,70.38989245
07-Mar-2015,12:00:00,57.26601867
07-Mar-2015,14:00:00,48.23351245
07-Mar-2015,16:00:00,30.61281444
07-Mar-2015,18:00:00,20.76404066
07-Mar-2015,20:00:00,15.87389245
07-Mar-2015,22:00:00,14.80990066
08-Mar-2015,00:00:00,13.17629934
08-Mar-2015,02:00:00,21.74244622
08-Mar-2015,04:00:00,40.99555801
08-Mar-2015,06:00:00,62.33975801
08-Mar-2015,08:00:00,88.21331801
08-Mar-2015,10:00:00,90.53615734
08-Mar-2015,12:00:00,79.5268249
08-Mar-2015,14:00:00,56.72452423
08-Mar-2015,16:00:00,35.48559378
08-Mar-2015,18:00:00,25.46834689
08-Mar-2015,20:00:00,19.11576622
08-Mar-2015,22:00:00,14.55970689
09-Mar-2015,00:00:00,11.52010622
09-Mar-2015,02:00:00,25.42478622
09-Mar-2015,04:00:00,40.86797178
09-Mar-2015,06:00:00,61.20525801
09-Mar-2015,08:00:00,73.91809046
09-Mar-2015,10:00:00,74.77545734
09-Mar-2015,12:00:00,64.24741867
09-Mar-2015,14:00:00,49.09435801
09-Mar-2015,16:00:00,32.17142622
09-Mar-2015,18:00:00,21.60755444
09-Mar-2015,20:00:00,19.17578
09-Mar-2015,22:00:00,15.23825378
10-Mar-2015,00:00:00,11.83538689
10-Mar-2015,02:00:00,21.80864622
10-Mar-2015,04:00:00,34.04481178
10-Mar-2015,06:00:00,55.21667867
10-Mar-2015,08:00:00,70.86023178
10-Mar-2015,10:00:00,76.80839801
10-Mar-2015,12:00:00,63.7392249
10-Mar-2015,14:00:00,45.57285178
10-Mar-2015,16:00:00,28.11280066
10-Mar-2015,18:00:00,17.42713378
10-Mar-2015,20:00:00,14.62828622
10-Mar-2015,22:00:00,12.43532
11-Mar-2015,00:00:00,11.87093311
11-Mar-2015,02:00:00,24.92637311
11-Mar-2015,04:00:00,37.54323867
11-Mar-2015,06:00:00,56.26439867
11-Mar-2015,08:00:00,67.63495801
11-Mar-2015,10:00:00,67.13623801
11-Mar-2015,12:00:00,55.59843245
11-Mar-2015,14:00:00,42.54459112
11-Mar-2015,16:00:00,26.87019934
11-Mar-2015,18:00:00,20.39805311
11-Mar-2015,20:00:00,18.45609867
11-Mar-2015,22:00:00,16.35455311
12-Mar-2015,00:00:00,13.00787934
12-Mar-2015,02:00:00,25.46412556
12-Mar-2015,04:00:00,41.46409801
12-Mar-2015,06:00:00,59.41385112
12-Mar-2015,08:00:00,73.94951112
12-Mar-2015,10:00:00,70.70231801
12-Mar-2015,12:00:00,58.15075178
12-Mar-2015,14:00:00,44.20605801
12-Mar-2015,16:00:00,28.13660755
12-Mar-2015,18:00:00,17.82566689
12-Mar-2015,20:00:00,15.44987311
12-Mar-2015,22:00:00,13.04462689
13-Mar-2015,00:00:00,13.47549311
13-Mar-2015,02:00:00,28.09631311
13-Mar-2015,04:00:00,40.86946423
13-Mar-2015,06:00:00,59.1304649
13-Mar-2015,08:00:00,68.58965668
13-Mar-2015,10:00:00,64.46153734
13-Mar-2015,12:00:00,53.61248423
13-Mar-2015,14:00:00,45.48155112
13-Mar-2015,16:00:00,26.3139
13-Mar-2015,18:00:00,19.05153867
13-Mar-2015,20:00:00,15.33841311
13-Mar-2015,22:00:00,13.24852622
14-Mar-2015,00:00:00,11.97467311
14-Mar-2015,02:00:00,26.43869245
14-Mar-2015,04:00:00,46.97863734
14-Mar-2015,06:00:00,68.66188556
14-Mar-2015,08:00:00,80.67675734
14-Mar-2015,10:00:00,72.06771178
14-Mar-2015,12:00:00,57.04379867
14-Mar-2015,14:00:00,47.25751801
14-Mar-2015,16:00:00,31.95425378
14-Mar-2015,18:00:00,18.71955934
14-Mar-2015,20:00:00,12.78512622
14-Mar-2015,22:00:00,10.77151311
15-Mar-2015,00:00:00,10.17783311
15-Mar-2015,02:00:00,25.38784
15-Mar-2015,04:00:00,39.32865801
15-Mar-2015,06:00:00,59.21253934
15-Mar-2015,08:00:00,71.49142622
15-Mar-2015,10:00:00,65.48966622
15-Mar-2015,12:00:00,51.54082556
15-Mar-2015,14:00:00,34.6716249
15-Mar-2015,16:00:00,23.06684066
15-Mar-2015,18:00:00,15.92365934
15-Mar-2015,20:00:00,16.16122689
15-Mar-2015,22:00:00,12.35771311
16-Mar-2015,00:00:00,10.06705934
16-Mar-2015,02:00:00,21.58248556
16-Mar-2015,04:00:00,39.95863734
16-Mar-2015,06:00:00,60.01182556
16-Mar-2015,08:00:00,75.13363668
16-Mar-2015,10:00:00,71.02075867
16-Mar-2015,12:00:00,58.46233178
16-Mar-2015,14:00:00,50.31824556
16-Mar-2015,16:00:00,29.80492133
16-Mar-2015,18:00:00,17.68967245
16-Mar-2015,20:00:00,13.38131934
16-Mar-2015,22:00:00,10.75912689
17-Mar-2015,00:00:00,10.62157311
17-Mar-2015,02:00:00,26.77544
17-Mar-2015,04:00:00,37.62399178
17-Mar-2015,06:00:00,50.6259049
17-Mar-2015,08:00:00,64.77723112
17-Mar-2015,10:00:00,74.78546423
17-Mar-2015,12:00:00,64.86477801
17-Mar-2015,14:00:00,34.22698622
17-Mar-2015,16:00:00,28.51684755
17-Mar-2015,18:00:00,22.76428066
17-Mar-2015,20:00:00,11.69836
17-Mar-2015,22:00:00,9.403793112
18-Mar-2015,00:00:00,9.977886224
18-Mar-2015,02:00:00,20.7756249
18-Mar-2015,04:00:00,29.44025934
18-Mar-2015,06:00:00,32.66316556
18-Mar-2015,08:00:00,30.53200822
18-Mar-2015,10:00:00,24.6968751
18-Mar-2015,12:00:00,25.5207351
18-Mar-2015,14:00:00,18.11720755
18-Mar-2015,16:00:00,14.98098888
18-Mar-2015,18:00:00,10.36326622
18-Mar-2015,20:00:00,9.745446888
18-Mar-2015,22:00:00,9.30702
19-Mar-2015,00:00:00,9.08152
19-Mar-2015,02:00:00,21.29135378
19-Mar-2015,04:00:00,30.40387178
19-Mar-2015,06:00:00,50.40669734
19-Mar-2015,08:00:00,66.83089734
19-Mar-2015,10:00:00,63.89839112
19-Mar-2015,12:00:00,53.6552449
19-Mar-2015,14:00:00,41.38601867
19-Mar-2015,16:00:00,22.47945311
19-Mar-2015,18:00:00,16.36010423
19-Mar-2015,20:00:00,8.346013112
19-Mar-2015,22:00:00,6.87532
20-Mar-2015,00:00:00,6.101466888
20-Mar-2015,02:00:00,19.71690689
20-Mar-2015,04:00:00,32.93148556
20-Mar-2015,06:00:00,58.65839734
20-Mar-2015,08:00:00,76.89650357
20-Mar-2015,10:00:00,78.2120849
20-Mar-2015,12:00:00,65.8444849
20-Mar-2015,14:00:00,43.25619867
20-Mar-2015,16:00:00,22.81450755
20-Mar-2015,18:00:00,15.57510556
20-Mar-2015,20:00:00,13.44425311
20-Mar-2015,22:00:00,6.817553776
21-Mar-2015,00:00:00,5.57544
21-Mar-2015,02:00:00,22.69701311
21-Mar-2015,04:00:00,33.37719801
21-Mar-2015,06:00:00,62.16509867
21-Mar-2015,08:00:00,73.65859178
21-Mar-2015,10:00:00,73.50517311
21-Mar-2015,12:00:00,63.49130622
21-Mar-2015,14:00:00,43.59528622
21-Mar-2015,16:00:00,25.63831444
21-Mar-2015,18:00:00,17.06811311
21-Mar-2015,20:00:00,15.28199378
21-Mar-2015,22:00:00,9.549186888
22-Mar-2015,00:00:00,9.180766888
22-Mar-2015,02:00:00,24.31631311
22-Mar-2015,04:00:00,37.03237245
22-Mar-2015,06:00:00,62.69997046
22-Mar-2015,08:00:00,90.72957801
22-Mar-2015,10:00:00,88.33841867
22-Mar-2015,12:00:00,74.77835178
22-Mar-2015,14:00:00,47.8892849
22-Mar-2015,16:00:00,24.50640622
22-Mar-2015,18:00:00,18.41359934
22-Mar-2015,20:00:00,12.77672
22-Mar-2015,22:00:00,12.00288066
23-Mar-2015,00:00:00,11.11854689
23-Mar-2015,02:00:00,25.43713311
23-Mar-2015,04:00:00,37.37717245
23-Mar-2015,06:00:00,52.93189668
23-Mar-2015,08:00:00,65.53981112
23-Mar-2015,10:00:00,72.27003801
23-Mar-2015,12:00:00,70.05118622
23-Mar-2015,14:00:00,55.80490556
23-Mar-2015,16:00:00,35.1294951
23-Mar-2015,18:00:00,20.27436622
23-Mar-2015,20:00:00,21.03802755
23-Mar-2015,22:00:00,15.11996066
24-Mar-2015,00:00:00,14.08702
24-Mar-2015,02:00:00,24.58707311
24-Mar-2015,04:00:00,39.34259178
24-Mar-2015,06:00:00,63.67453734
24-Mar-2015,08:00:00,71.16336423
24-Mar-2015,10:00:00,75.85307801
24-Mar-2015,12:00:00,74.05463734
24-Mar-2015,14:00:00,56.67435801
24-Mar-2015,16:00:00,34.31582689
24-Mar-2015,18:00:00,20.15973245
24-Mar-2015,20:00:00,18.09768556
24-Mar-2015,22:00:00,14.39994689
25-Mar-2015,00:00:00,12.45474
25-Mar-2015,02:00:00,30.37491311
25-Mar-2015,04:00:00,43.8688449
25-Mar-2015,06:00:00,58.66569668
25-Mar-2015,08:00:00,67.42128979
25-Mar-2015,10:00:00,69.3498649
25-Mar-2015,12:00:00,64.00465801
25-Mar-2015,14:00:00,49.7482249
25-Mar-2015,16:00:00,35.38410133
25-Mar-2015,18:00:00,26.29918755
25-Mar-2015,20:00:00,24.55388822
25-Mar-2015,22:00:00,16.90368689
26-Mar-2015,00:00:00,16.02078066
26-Mar-2015,02:00:00,32.47409311
26-Mar-2015,04:00:00,43.5389049
26-Mar-2015,06:00:00,62.58560423
26-Mar-2015,08:00:00,72.21039801
26-Mar-2015,10:00:00,76.52829178
26-Mar-2015,12:00:00,68.95433245
26-Mar-2015,14:00:00,55.45969867
26-Mar-2015,16:00:00,44.51663311
26-Mar-2015,18:00:00,32.37918755
26-Mar-2015,20:00:00,27.91936066
26-Mar-2015,22:00:00,18.52457378
27-Mar-2015,00:00:00,17.05175311
27-Mar-2015,02:00:00,29.51638
27-Mar-2015,04:00:00,45.87940622
27-Mar-2015,06:00:00,63.56021046
27-Mar-2015,08:00:00,76.75658423
27-Mar-2015,10:00:00,78.98911178
27-Mar-2015,12:00:00,69.59379178
27-Mar-2015,14:00:00,55.93901245
27-Mar-2015,16:00:00,42.53229934
27-Mar-2015,18:00:00,31.61875311
27-Mar-2015,20:00:00,26.53193378
27-Mar-2015,22:00:00,20.36773378
28-Mar-2015,00:00:00,17.98398
28-Mar-2015,02:00:00,31.37866689
28-Mar-2015,04:00:00,43.68485311
28-Mar-2015,06:00:00,69.06256423
28-Mar-2015,08:00:00,87.1898829
28-Mar-2015,10:00:00,84.75836556
28-Mar-2015,12:00:00,71.8823849
28-Mar-2015,14:00:00,44.45146556
28-Mar-2015,16:00:00,36.15144
28-Mar-2015,18:00:00,29.48799311
28-Mar-2015,20:00:00,25.41010888
28-Mar-2015,22:00:00,22.08684689
29-Mar-2015,00:00:00,20.9793
29-Mar-2015,02:00:00,35.39774066
29-Mar-2015,04:00:00,49.55417178
29-Mar-2015,06:00:00,78.31617734
29-Mar-2015,08:00:00,91.48114423
29-Mar-2015,10:00:00,82.87075178
29-Mar-2015,12:00:00,73.29233867
29-Mar-2015,14:00:00,50.8240249
29-Mar-2015,16:00:00,39.30160622
29-Mar-2015,18:00:00,30.33663934
29-Mar-2015,20:00:00,28.19107444
29-Mar-2015,22:00:00,21.64532689
30-Mar-2015,00:00:00,16.67468689
30-Mar-2015,02:00:00,37.01409311
30-Mar-2015,04:00:00,48.08173245
30-Mar-2015,06:00:00,70.34769046
30-Mar-2015,08:00:00,77.35017178
30-Mar-2015,10:00:00,74.47531178
30-Mar-2015,12:00:00,64.69412423
30-Mar-2015,14:00:00,45.34711801
30-Mar-2015,16:00:00,33.94759378
30-Mar-2015,18:00:00,20.97441934
30-Mar-2015,20:00:00,18.41046689
30-Mar-2015,22:00:00,15.98761378
31-Mar-2015,00:00:00,14.95397311
31-Mar-2015,02:00:00,28.27250622
31-Mar-2015,04:00:00,43.81953801
31-Mar-2015,06:00:00,72.71855668
31-Mar-2015,08:00:00,89.68571801
31-Mar-2015,10:00:00,87.68139178
31-Mar-2015,12:00:00,70.95743934
31-Mar-2015,14:00:00,46.7884649
31-Mar-2015,16:00:00,32.19682
31-Mar-2015,18:00:00,22.10983178
31-Mar-2015,20:00:00,17.99052
31-Mar-2015,22:00:00,16.31694622
01-Apr-2015,00:00:00,16.61718622
01-Apr-2015,02:00:00,31.42185245
01-Apr-2015,04:00:00,46.13791178
01-Apr-2015,06:00:00,67.38138423
01-Apr-2015,08:00:00,75.30152556
01-Apr-2015,10:00:00,66.50566066
01-Apr-2015,12:00:00,49.09520755
01-Apr-2015,14:00:00,39.34688
01-Apr-2015,16:00:00,30.45078133
01-Apr-2015,18:00:00,21.98058
01-Apr-2015,20:00:00,19.37136755
01-Apr-2015,22:00:00,18.51311378
02-Apr-2015,00:00:00,17.78328
02-Apr-2015,02:00:00,33.87098622
02-Apr-2015,04:00:00,50.4418249
02-Apr-2015,06:00:00,84.86665801
02-Apr-2015,08:00:00,99.00939112
02-Apr-2015,10:00:00,81.09951378
02-Apr-2015,12:00:00,65.52664
02-Apr-2015,14:00:00,54.42218622
02-Apr-2015,16:00:00,42.35824755
02-Apr-2015,18:00:00,35.26245378
02-Apr-2015,20:00:00,26.30030066
02-Apr-2015,22:00:00,19.31760689
03-Apr-2015,00:00:00,17.39778
03-Apr-2015,02:00:00,27.86485311
03-Apr-2015,04:00:00,53.57047112
03-Apr-2015,06:00:00,89.44926357
03-Apr-2015,08:00:00,97.37564423
03-Apr-2015,10:00:00,80.46205245
03-Apr-2015,12:00:00,63.47385867
03-Apr-2015,14:00:00,51.22923178
03-Apr-2015,16:00:00,38.46841378
03-Apr-2015,18:00:00,29.00353934
03-Apr-2015,20:00:00,23.25346755
03-Apr-2015,22:00:00,19.20604066
04-Apr-2015,00:00:00,16.32158689
04-Apr-2015,02:00:00,32.07327311
04-Apr-2015,04:00:00,51.90715178
04-Apr-2015,06:00:00,79.75665112
04-Apr-2015,08:00:00,92.43107046
04-Apr-2015,10:00:00,82.95771867
04-Apr-2015,12:00:00,68.90830556
04-Apr-2015,14:00:00,55.48839801
04-Apr-2015,16:00:00,37.59984622
04-Apr-2015,18:00:00,24.55358556
04-Apr-2015,20:00:00,22.76818
04-Apr-2015,22:00:00,18.50770622
05-Apr-2015,00:00:00,18.07168622
05-Apr-2015,02:00:00,30.90635934
05-Apr-2015,04:00:00,50.52806423
05-Apr-2015,06:00:00,73.86263867
05-Apr-2015,08:00:00,82.91412423
